.Alaska,AK,738432,23263.00,4.27%
.Alabama,AL,4858979,1251311.00,26.38%
.Arkansas,AR,2978204,449895.00,15.76%
.Arizona,AZ,6828065,259008.00,4.16%
.California,CA,39144818,2299072.00,6.67%
.Colorado,CO,5456574,362296.00,10.34%
.Connecticut,CT,3590886,201737.00,4.28%
.District of Columbia,DC,672228,305074.00,50.07%
.Delaware,DE,945934,191814.00,20.95%
.Florida,FL,20271272,2999862.00,15.91%
.Georgia,GA,10214860,3150435.00,31.40%
.Hawaii,HI,1431603,21424.00,3.08%
.Iowa,IA,3123899,89148.00,2.68%
.Idaho,ID,1654930,9810.00,0.95%
.Illinois,IL,12859995,1866414.00,14.88%
.Indiana,IN,6619680,591397.00,9.07%
.Kansas,KS,2911641,167864.00,6.15%
.Kentucky,KY,4425092,361273.00,8.20%
.Louisiana,LA,4670724,1506534.00,32.40%
.Massachusetts,MA,6794422,528761.00,8.10%
.Maryland,MD,6006401,1798593.00,30.10%
.Maine,ME,1329328,15707.00,1.03%
.Michigan,MI,9922576,1400362.00,14.24%
.Minnesota,MN,5489594,274412.00,4.57%
.Missouri,MO,6083672,704043.00,11.49%
.Mississippi,MS,2992333,1074200.00,37.30%
.Montana,MT,1032949,4027.00,0.67%
.North Carolina,NC,10042802,2048628.00,21.60%
.North Dakota,ND,756927,7960.00,1.08%
.Nebraska,NE,1896190,82885.00,4.50%
.New Hampshire,NH,1330608,15035.00,1.22%
.New Jersey,NJ,8958013,1204826.00,14.46%
.New Mexico,NM,2085109,42550.00,2.97%
.Nevada,NV,2890845,255633.00,9.00%
.New York,NY,19795791,3073800.00,15.18%
.Ohio,OH,11613423,1407681.00,12.04%
.Oklahoma,OK,3911338,277644.00,7.96%
.Oregon,OR,4028977,69206.00,2.01%
.Pennsylvania,PA,12802503,1377689.00,10.79%
.Rhode Island,RI,1056298,79719.00,7.50%
.South Carolina,SC,4896146,1290684.00,28.48%
.South Dakota,SD,858469,10207.00,1.14%
.Tennessee,TN,6600299,1055689.00,16.78%
.Texas,TX,27469114,2979598.00,11.91%
.Utah,UT,2995919,29287.00,1.27%
.Virginia,VA,8382993,1551399.00,19.91%
.Vermont,VT,626042,6277.00,0.87%
.Washington,WA,7170351,240042.00,3.74%
.Wisconsin,WI,5771337,359148.00,6.07%
.West Virginia,WV,1844128,63124.00,3.58%
.Wyoming,WY,586107,4748.00,1.29%
